anime_titles,anime_ids,anime_genres
Golgo 13: Queen Bee,319,"['action', 'drama']"
Sakura Diaries,320,"['comedy', 'drama', 'romance', 'slice of life']"
Rayearth,321,"['action', 'drama', 'fantasy']"
Fortune Quest L,322,"['adventure', 'fantasy']"
Zoids/ZERO,323,"['action', 'comedy', 'science fiction', 'tournament']"
Zetsuai 1989,324,"['drama', 'erotica', 'romance']"
Descendants of Darkness,325,"['comedy', 'erotica', 'horror', 'mystery', 'psychological', 'supernatural']"
Steel Angel Kurumi,326,"['action', 'comedy', 'drama', 'romance']"
Kimagure Orange Road,327,"['action', 'comedy', 'drama', 'romance']"
Berserk,328,"['action', 'drama', 'fantasy', 'horror']"
Roujin Z,329,"['comedy', 'science fiction']"
The Tokyo Project,331,"['action', 'thriller']"
Mezzo Forte,332,"['action', 'comedy', 'erotica']"
Zenki,333,"['action', 'adventure', 'comedy', 'drama', 'fantasy', 'supernatural']"
Saber Marionette J to X,334,"['action', 'comedy', 'drama', 'romance', 'science fiction']"
Kurogane Communication,335,"['adventure', 'comedy', 'science fiction']"
Vampire Princess Miyu,336,"['drama', 'horror', 'mystery', 'supernatural']"
Fushigi Yugi,337,"['adventure', 'drama', 'fantasy', 'romance']"
Star Blazers,338,"['action', 'adventure', 'drama', 'romance', 'science fiction']"
Space Travelers,339,['science fiction']
Legendary Armor Samurai Troopers,340,"['action', 'fantasy', 'science fiction']"
Kuru Kuru Amy,341,[]
Macross Plus Movie Edition,342,"['action', 'drama', 'science fiction']"
Legend of Crystania: The Chaos Ring,343,"['action', 'fantasy']"
Magic User's Club!,345,"['comedy', 'magic', 'romance', 'science fiction']"
La Blue Girl Returns,346,"['comedy', 'drama', 'erotica', 'supernatural']"
Psychic Force,347,"['action', 'adventure', 'fantasy']"
Fruits Basket,348,"['comedy', 'drama', 'romance', 'supernatural']"
Silent Möbius,349,"['action', 'drama', 'fantasy', 'psychological', 'science fiction']"
Betterman,350,"['action', 'adventure', 'drama', 'horror', 'mystery', 'psychological', 'science fiction']"
Escaflowne: The Movie,351,"['adventure', 'drama', 'fantasy', 'romance']"
"Panda! Go, Panda!",352,"['adventure', 'comedy']"
Cowboy Bebop: The Movie,353,"['action', 'drama', 'science fiction']"
The Super Dimension Fortress Macross,355,"['action', 'drama', 'romance', 'science fiction']"
Miyuki-chan in Wonderland,356,"['comedy', 'fantasy']"
Chobits,357,"['comedy', 'drama', 'romance', 'science fiction']"
Anime Tenchō,358,[]
Nouvelle Fantasia Gulliverboy,359,"['action', 'adventure', 'science fiction']"
Riding Bean,360,"['action', 'comedy']"
AD Police,361,"['action', 'horror', 'mystery', 'science fiction']"
Kamikaze Kaito Jeanne,362,"['adventure', 'comedy', 'drama', 'magic', 'mystery', 'romance']"
Sailor Moon,363,"['action', 'comedy', 'drama', 'magic', 'romance']"
Kyuumei Senshi Nanosaver,365,[]
The Super Dimension Fortress Macross: Do You Remember Love?,366,"['action', 'drama', 'romance', 'science fiction']"
Lupin III: The Secret of Twilight Gemini,367,"['action', 'comedy']"
Gundress,368,['science fiction']
801 T.T.S. Airbats,369,"['action', 'comedy', 'romance']"
Medabots,371,"['action', 'adventure', 'comedy', 'science fiction', 'tournament']"
Devil Hunter Yohko,372,"['action', 'comedy', 'horror', 'magic', 'supernatural']"
Golden Boy,373,['comedy']
Millennium Actress,374,"['drama', 'psychological', 'romance']"
Akira,375,"['action', 'horror', 'psychological', 'science fiction', 'supernatural']"
Maison Ikkoku,376,"['comedy', 'drama', 'romance']"
Spirited Away,377,"['adventure', 'drama', 'fantasy']"
Armitage III,378,"['action', 'drama', 'mystery', 'science fiction']"
Labyrinth of Flames,379,"['action', 'comedy']"
De:vadasy,380,"['action', 'science fiction']"
Lemon Angel,381,[]
3x3 Eyes,382,"['adventure', 'drama', 'horror', 'supernatural']"
Let's Nupu-Nupu,383,['comedy']
City Hunter,384,"['action', 'comedy', 'drama', 'mystery']"
The Mysterious Cities of Gold,385,"['adventure', 'fantasy', 'science fiction']"
Please Teacher!,386,"['comedy', 'drama', 'romance', 'science fiction']"
Hellsing,387,"['action', 'drama', 'horror', 'supernatural']"
Astro Boy,388,"['action', 'science fiction']"
My Life As...,389,['erotica']
Bible Black,390,"['erotica', 'horror', 'supernatural']"
